date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:00	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Sep%202023%2016:28:59%20GMT	https://arenacoelhos.my.canva.site/robots.txt		(from )
13:29:00	130019/130019	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2016:28:59%20GMT	https://arenacoelhos.my.canva.site/	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/index.html	(from )
13:29:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Sep%202023%2016:29:00%20GMT	http://arenacoelhos.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://arenacoelhos.my.canva.site/)
13:29:01	510/510	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Sep%202023%2016:29:01%20GMT	https://arenacoelhos.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://arenacoelhos.my.canva.site/)
13:29:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Sep%202023%2016:29:01%20GMT	http://arenacoelhos.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://arenacoelhos.my.canva.site/)
13:29:01	1053/1053	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Sep%202023%2016:29:01%20GMT	https://arenacoelhos.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://arenacoelhos.my.canva.site/)
13:29:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Sep%202023%2016:29:01%20GMT	http://arenacoelhos.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://arenacoelhos.my.canva.site/)
13:29:02	6245/6245	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Sep%202023%2016:29:02%20GMT	https://arenacoelhos.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://arenacoelhos.my.canva.site/)
13:29:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Sep%202023%2016:29:02%20GMT	http://arenacoelhos.my.canva.site/fonts/e609efb90aabe72475bbbd19aeb1de0e.woff2	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/fonts/e609efb90aabe72475bbbd19aeb1de0e.woff2	(from https://arenacoelhos.my.canva.site/)
13:29:03	399408/399408	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Sep%202023%2016:29:02%20GMT	https://arenacoelhos.my.canva.site/01feeb8e28649b73ebc4de1d4feaa797.png	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/01feeb8e28649b73ebc4de1d4feaa797.png	(from https://arenacoelhos.my.canva.site/)
13:29:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Sep%202023%2016:29:03%20GMT	http://arenacoelhos.my.canva.site/fonts/450d7530ab7aee079f9640de21748c69.woff2	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/fonts/450d7530ab7aee079f9640de21748c69.woff2	(from https://arenacoelhos.my.canva.site/)
13:29:05	108044/108044	---M--	200	added ('OK')	font/woff2	date:Fri,%2001%20Sep%202023%2016:29:03%20GMT	https://arenacoelhos.my.canva.site/fonts/e609efb90aabe72475bbbd19aeb1de0e.woff2	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/fonts/e609efb90aabe72475bbbd19aeb1de0e.woff2	(from https://arenacoelhos.my.canva.site/)
13:29:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Sep%202023%2016:29:05%20GMT	http://arenacoelhos.my.canva.site/fonts/2379fff25d9a69a820a8f953d69f7539.woff2	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/fonts/2379fff25d9a69a820a8f953d69f7539.woff2	(from https://arenacoelhos.my.canva.site/)
13:29:06	113660/113660	---M--	200	added ('OK')	font/woff2	date:Fri,%2001%20Sep%202023%2016:29:05%20GMT	https://arenacoelhos.my.canva.site/fonts/450d7530ab7aee079f9640de21748c69.woff2	C:/My%20Web%20Sites/arenacoelhoscanva/arenacoelhos.my.canva.site/fonts/450d7530ab7aee079f9640de21748c69.woff2	(from https://arenacoelhos.my.canva.site/)
